Source,Target,UserId,MoveNumber,UserSuccess,SolverValue,MoveValue,PromptMode,LevelMode
42653,95390,e1_kf,4,failure,,,,
51246,95640,e1_kf,0,failure,insight,correct,,
95640,15786,e1_kf,1,failure,insight,correct,,
15786,39210,e1_kf,2,failure,insight,correct,,
39210,41166,e1_kf,3,failure,insight,correct,,
41166,41166,e1_kf,4,failure,insight,correct,,
41166,87301,e1_kf,5,failure,,,,
89230,37447,e1_kf,0,failure,insight,correct,,
37447,38468,e1_kf,1,failure,insight,correct,,
38468,50448,e1_kf,2,failure,insight,correct,,
50448,28437,e1_kf,3,failure,insight,correct,,
28437,34839,e1_kf,4,failure,,,,
82600,14229,e1_kf,0,failure,insight,correct,,
14229,69814,e1_kf,1,failure,unknown-correct,correct,,
69814,39665,e1_kf,2,failure,insight,correct,,
39665,22017,e1_kf,3,failure,insight,correct,,
22017,39707,e1_kf,4,failure,insight,correct,,
39707,53152,e1_kf,5,failure,,,,
46786,48610,e1_kf,0,failure,unknown-correct,correct,,
48610,19625,e1_kf,1,failure,insight,correct,,
19625,23356,e1_kf,2,failure,insight,correct,,
23356,92924,e1_kf,3,failure,insight,correct,,
92924,64205,e1_kf,4,failure,insight,correct,,
64205,92924,e1_kf,5,failure,insight,correct,,
92924,91754,e1_kf,6,failure,,,,
22972,11338,e1_kf,0,success,insight,correct,,
11338,66269,e1_kf,1,success,insight,correct,,
66269,66269,e1_kf,2,success,insight,correct,,
66269,23215,e1_kf,3,success,insight,correct,,
23215,41617,e1_kf,4,success,insight,correct,,
41617,38550,e1_kf,5,success,insight,correct,,
38550,38550,e1_kf,6,success,insight,correct,,
38550,38550,e1_kf,7,success,insight,correct,,
38550,38550,e1_kf,8,success,insight,correct,,
38550,38550,e1_kf,9,success,insight,correct,,
38550,31179,e1_kf,10,success,insight,correct,,
31179,38550,e1_kf,11,success,insight,correct,,
38550,98690,e1_kf,12,success,insight,correct,,
98690,74589,e1_kf,13,success,insight,correct,,
74589,38492,e1_kf,14,success,,,,
